Artist_and_Track_Name,France_Streams,Position
Maluma - Felices los 4,3502597,288
Taylor Swift - Look What You Made Me Do,3496271,289
Jonas Blue - By Your Side,3476826,290
Lacrim - Veux-tu ?,3461367,291
Katy Perry - Bon appétit,3447114,292
Sofiane - X,3442450,293
Bruno Mars - 24K Magic,3433636,294
Lacrim - Tous les mêmes,3425055,295
Booba - Magnifique,3420892,296
Bigflo & Oli - Personne,3379719,297
Kalash - Koussi koussa,3369951,298
Jul - Je ne me vois pas briller,3368171,299
MHD - Bravo,3349831,300
Lorde - Green Light,3319862,301
Jul - La tête dans les nuages,3315219,302
XXXTENTACION - Jocelyn Flores,3309659,303
Deen Burbigo - Tu rêves,3302607,304
Jennifer Lopez - Ain't Your Mama,3297495,305
MHD - A Kele Nta,3291098,306
Rilès - Thank God,3288916,307
Booba - À la folie,3283827,308
Sia - The Greatest,3283264,309
Ninho - HLM ou Palace,3251682,310
SCH - Poupée russe,3240488,311
Booba - Terrain,3207930,312
Nekfeu - Humanoïde,3198374,313
PNL - J'suis QLF,3129401,314
Clean Bandit - I Miss You (feat. Julia Michaels),3122940,315
FRENSHIP - Capsize,3096678,316
Niro - Sors de ma tête,3087935,317
Dadju - Par amour,3085677,318
Ninho - Dita (feat. Hös),3082971,319
KeBlack - J'ai déconné,3077308,320
Drake - Signs,3075230,321
Damso - Ι. Peur d'être père,3046904,322
Timal - Vatos,2998189,323
Nekfeu - Galatée,2983953,324
Sage The Gemini - Now and Later,2982813,325
Dadju - Ma fierté,2975209,326
Kaaris - Kébra,2969963,327
Harry Styles - Sign of the Times,2965917,328
Calvin Harris - Rollin,2939675,329
Ninho - Pourquoi,2930621,330
Niska - Commando,2924316,331
Maître Gims - Caméléon,2907042,332
Rae Sremmurd - Black Beatles,2886111,333
Feder - Back For More (feat. Daecolm),2862179,334
Vald - Ma meilleure amie,2859307,335
Kendrick Lamar - DNA.,2832559,336
Selena Gomez - Fetish (feat. Gucci Mane),2827574,337
Naps - Le sens des affaires,2826910,338
Luis Fonsi - Échame La Culpa,2809607,339
Cheat Codes - Sex,2790216,340
Kaaris - Diarabi,2755143,341
Jul - On m'appelle l'ovni,2753242,342
Kaaris - Poussière,2743383,343
Naps - Ciao,2725903,344
Ninho - Carbozo,2717109,345
Sam Smith - Too Good At Goodbyes - Edit,2695404,346
Booba - DKR - Bonus Track,2686319,347
Lacrim - Colonel Carrillo,2685891,348
Major Lazer - Lean On (feat. MØ & DJ Snake),2681052,349
Major Lazer - Cold Water (feat. Justin Bieber & MØ),2662883,350
The Chainsmokers - All We Know,2660233,351
Medine - Grand Paris,2659277,352
Dadju - Bob Marley,2657251,353
Djadja & Dinaz - Souviens-toi,2657135,354
Damso - Μ. Noob Saibot,2628154,355
Djadja & Dinaz - Tenue de motard 4,2593996,356
Vianney - Moi aimer Toi,2589952,357
Lacrim - Gericault,2576888,358
Scridge - Pour walou,2561450,359
Nekfeu - Avant tu riais,2550544,360
Damso - Ξ. Une âme pour deux,2545010,361
RIDSA - Mamamia,2498766,362
Dadju - Comme si de rien n'était,2485033,363
Lacrim - Intocable,2473391,364
Ed Sheeran - Perfect Duet (Ed Sheeran & Beyoncé),2468737,365
PNL - Le monde ou rien,2459529,366
Drake - Fake Love,2457749,367
Sofiane - Ma cité a craqué,2452085,368
MMZ - Ma bulle,2442245,369
Alan Walker - Alone,2420881,370
Future - Selfish,2415683,371
Saint PHNX - King,2406996,372
Shakira - Me Enamoré,2403851,373
Shay - Thibaut Courtois,2400307,374
Django - Oiseaux,2399019,375
Fifth Harmony - Work from Home,2390903,376
David Guetta - Dirty Sexy Money (feat. Charli XCX & French Montana),2388070,377
Zara Larsson - Lush Life,2363041,378
Robin Schulz - Shed a Light,2362830,379
Niska - D.M.B,2338875,380
Desiigner - Panda,2329454,381
Lartiste - Clandestina,2323349,382
Dadju - Sous contrôle,2298009,383
Jul - Je vais t'oublier,2296473,384
Booba - E.L.E.P.H.A.N.T,2293073,385
Lady Gaga - The Cure,2285945,386
Jul - Drôle de dame,2277458,387
Nekfeu - Esquimaux,2272841,388
Alan Walker - Tired - Kygo Remix,2238081,389
The Strumbellas - Spirits,2230512,390
Black M - French Kiss,2207434,391
Benash - Ivre,2205660,392
Jul - Henrico,2204033,393
Martin Garrix - In the Name of Love,2200898,394
Sofiane - Poto,2199530,395
Dadju - Oublie-le,2198346,396
James Bay - Let It Go,2188023,397
Fally Ipupa - Bad Boy (feat. Aya Nakamura),2181454,398
Selena Gomez - Bad Liar,2163479,399
Eminem - River (feat. Ed Sheeran),2154889,400
Johnny Hallyday - Je te promets,2127469,401
Marian Hill - Down,2124164,402
Aaron Carter - Sooner Or Later,2122579,403
AJR - Weak,2114197,404
Marwa Loud - Mehdi,2108274,405
OneRepublic - Wherever I Go,2097673,406
Big Shaq - Man's Not Hot,2096822,407
Jain - Makeba - Radio Edit,2082043,408
Hamza - Life,2055000,409
Jul - Délicieuse,2035506,410
Hooss - La Provence,2033976,411
G-Eazy - Him & I (with Halsey),2033444,412
Joel Adams - Please Don't Go,2019071,413
BMYE - Pourquoi chérie,2010048,414
Amir - États d'Amour,2007840,415
Booba - E.L.E.P.H.A.N.T - Bonus Track,2000926,416
Dadju - Intuition,1993193,417
Nekfeu - Le regard des gens,1990068,418
Djadja & Dinaz - Catalogués bandits,1989525,419
"gnash - i hate u, i love u (feat. olivia o'brien)",1964665,420
Dadju - Django,1963373,421
Parcels - Overnight,1962659,422
MMZ - Orion,1934968,423
Dadju - Lionne,1934440,424
KeBlack - Premier étage,1931130,425
Lacrim - Tristi,1884583,426
Soprano - En feu,1860671,427
LANY - Super Far,1858917,428
Mariah Carey - All I Want for Christmas Is You,1848666,429
Rihanna - Love On The Brain,1836967,430
PNL - Bambina,1825831,431
Nekfeu - Nekketsu,1819889,432
Lacrim - 2 Pac,1800573,433
Childish Gambino - Redbone,1766187,434
Izzy Bizu - White Tiger - Single Version,1761246,435
Jul - C'est pas ma faute,1755626,436
SCH - J'attends,1745635,437
Ed Sheeran - Happier,1745077,438
Djadja & Dinaz - Mauvais comportement,1740044,439
Jul - Mauvaise journée,1731046,440
LP - Lost on You,1729354,441
Sadek - Petit prince,1728022,442
DJ Hamida - C'est une frappe,1725598,443
Dadju - Déjà trouvé,1717702,444
Diva Faune - Shine on my Way,1681975,445
Rilès - I Do It,1674523,446
Dadju - Seconde chance,1669803,447
Jesper Jenset - Lies,1661034,448
Mister V - Venice,1653550,449
Jul - Amigo,1650820,450
Fally Ipupa - Kiname (feat. Booba),1647885,451
Kaaris - Nador,1638565,452
Rita Ora - Anywhere,1634791,453
Djadja & Dinaz - Dans la cité,1627085,454
Alonzo - Binta,1625859,455
Alonzo - J’écris,1597188,456
Djadja & Dinaz - J'fais mes affaires,1596234,457
"Justin Timberlake - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",1595740,458
Mike Perry - The Ocean,1588851,459
Mister V - Petit déjeuner,1583278,460
Still Fresh - Mon ami,1578863,461
Maître Gims - Loin - Pilule Violette,1577546,462
Booba - 92i veyron,1572721,463
Sofiane - Marion Maréchal,1550324,464
PNL - Luz de Luna,1537908,465
Dadju - Trouvez-la moi,1524560,466
Drake - Portland,1498777,467
Lacrim - 20 bouteilles,1480052,468
Mister V - Apollo13,1477841,469
Theory of a Deadman - Rx (Medicate),1473757,470
RIDSA - Avancer,1471201,471
MHD - Afro Trap Pt. 9 (Faut les wet),1461972,472
Lacrim - RIO,1434492,473
MRC - Paix sans guerre,1427830,474
Cardi B - Bodak Yellow,1423937,475
Johnny Hallyday - L'envie,1413027,476
"La La Land Cast - Another Day Of Sun - From ""La La Land"" Soundtrack",1409747,477
Martin Garrix - So Far Away,1406083,478
Louane - Si t'étais là,1405166,479
Lacrim - Rockefeller,1403844,480
Travis Scott - Butterfly Effect,1378155,481
Andrelli - Old Man,1371135,482
Jul - Beely,1367925,483
Nekfeu - O.D,1350591,484
Kalash Criminel - Enterrez-les,1347240,485
Khalid - Young Dumb & Broke,1334060,486
Lartiste - Pardonner,1328978,487
Still Fresh - Collision,1322983,488
Tom Walker - Leave a Light On,1294061,489
MZ - Les princes,1271101,490
Jul - Qui a dit ?,1266977,491
Walid Sevran - La cour des grands,1257597,492
Snakehips - Don't Leave,1252285,493
Lacrim - Kim Jong Un,1250707,494
Migos - T-Shirt,1243930,495
Jul - Ou lalala,1230703,496
Kalash Criminel - Mélanger,1228188,497
PNL - Tu sais pas,1224791,498
Jul - Cagoulé,1213968,499
Dosseh - Putain d'époque,1212899,500
Jul - Comme les gens d'ici,1195074,501
Eminem - Walk On Water (feat. Beyoncé),1187986,502
Deorro - Bailar,1187577,503
Machine Gun Kelly - Bad Things (with Camila Cabello),1186656,504
Lacrim - J'essaie,1183586,505
Damso - BruxellesVie,1173632,506
Alonzo - DLG,1168156,507
Nekfeu - Besoin de sens,1141265,508
SCH - Nino Brown,1140179,509
Lorenzo - Freestyle du sale,1133217,510
Ed Sheeran - Thinking Out Loud,1128612,511
Naps - Vroum vroum,1120579,512
Nekfeu - Princesse,1119789,513
Jonas Blue - Perfect Strangers,1116925,514
Twenty One Pilots - Stressed Out,1110446,515
Dadju - J'ai dit non,1109062,516
Kaaris - Feghouli,1105155,517
Lacrim - Audemars Piguet,1103709,518
Vald - Trophée,1101252,519
Alicia Keys - Blended Family (What You Do For Love),1100456,520
Mister V - Deutsche Qualität,1098046,521
Jonas Blue - Fast Car,1086618,522
Ariana Grande - Side To Side,1084342,523
Lacrim - Laisse-les,1071197,524
Djadja & Dinaz - La haine,1069785,525
Diplo - Get It Right (feat. MØ),1069209,526
Lacrim - Pardon...,1066997,527
Robin Schulz - I Believe I'm Fine,1056261,528
Lacrim - Partis de rien,1049788,529
MMZ - Pardon,1048992,530
Gradur - Dans ma vie,1046191,531
Sofiane - C'est nous les condés,1041401,532
Hailee Steinfeld - Starving,1039657,533
Miley Cyrus - Malibu,1039539,534
Hornet La Frappe - T'es un marrant (feat. Sofiane),1039167,535
Kendrick Lamar - LOYALTY. FEAT. RIHANNA.,1033818,536
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez),1032991,537
Hornet La Frappe - Igo,1029722,538
Hamza - Vibes,1026655,539
Katy Perry - Bon Appétit,1024941,540
Adele - Water Under the Bridge,1023744,541
The Chainsmokers - Don't Let Me Down,1018759,542
Jul - Je m'en fous de ta nana,1017031,543
Jul - C'est le son de la gratte,1014834,544
Lisandro Cuxi - Danser,1011216,545
Hayce Lemsi - Pull in up,1011114,546
MMZ - Bulma,1010270,547
Dadju - Jenny,1005767,548
Lacrim - Ça paie pas,1003027,549
Rim'K - Fantôme,1000110,550
Niro - Printemps blanc,995161,551
Lacrim - Cohiba,994035,552
S.Crew - J’aurais pas dû,992398,553
Migos - MotorSport,969931,554
Sadek - Napoli,966663,555
Lacrim - Papa Trabaja,965933,556
MAI LAN - Vampire,945647,557
Sofiane - Le cercle,942269,558
Lacrim - Vory V Zakone,930453,559
Lacrim - La valise,929479,560
Naza - A Gogo,927924,561
Broken Back - Halcyon Birds,921013,562
Hayce Lemsi - Havana,910689,563
Niall Horan - Too Much To Ask,908033,564
Halsey - Now Or Never,906260,565
Booba - Validée,904259,566
Siboy - Mula,897964,567
Jul - Je traîne seul,897489,568
Djadja & Dinaz - J'suis kha,890832,569
Nekfeu - Programmé,887877,570
Djadja & Dinaz - En vrai,882131,571
Hooss - A la Gustavo,879282,572
Greg June - How Many Times,862691,573
"Ryan Gosling - City Of Stars - From ""La La Land"" Soundtrack",857920,574
Lacrim - Mode S,857362,575
The Vamps - All Night,852419,576
Timal - La 6,834389,577
Hornet La Frappe - Terrain glissant (feat. Kalash Criminel),830469,578
Johnny Hallyday - Allumer le feu,828579,579
Lacrim - Nuit blanche,814739,580
13 Block - Vide,813011,581
Busy P - Genie (feat. Mayer Hawthorne) - Radio Edit,805720,582
PNL - Mira,800917,583
Jul - Tu mentiras,786435,584
Coldplay - Hymn For The Weekend - Seeb Remix,782291,585
Kendrick Lamar - ELEMENT.,781194,586
Kalash Criminel - Euphorie,780415,587
Nekfeu - Vinyle,779316,588
Sofiane - 93 empire,773093,589
Djadja & Dinaz - On parle pas,773041,590
Claudio Capéo - Un homme debout,771037,591
Mister V - Gville,766886,592
Dadju - Déjà donné,762606,593
Sofiane - Pégase,758473,594
James Arthur - Naked,755770,595
ALP - Pause,755303,596
Wham! - Last Christmas,751859,597
Djadja & Dinaz - Seuls,749727,598
Alessia Cara - Scars To Your Beautiful,749201,599
Vald - Megadose,739831,600
Ed Sheeran - Dive,739164,601
KYLE - iSpy (feat. Lil Yachty),734782,602
G-Eazy - No Limit,733124,603
PNL - Uranus,732454,604
Django - Fichu,730993,605
Drake - Blem,729879,606
SCH - Allo maman,727340,607
Ty Dolla $ign - Darkside (with Ty Dolla $ign & Future feat. Kiiara),725006,608
Anne-Marie - Ciao Adios,722117,609
The Lumineers - Ophelia,720649,610
Lacrim - Mythone pas,717074,611
Alonzo - La vaillance,716863,612
Johnny Hallyday - Le pénitencier,714585,613
Sia - Santa's Coming For Us,714048,614
Mister V - Demain,694157,615
Hearts & Colors - Lighthouse - Andrelli Remix,682696,616
Jul - Je suis resté le même,681740,617
Dadju - #PTD,676409,618
PNL - Humain,668784,619
Johnny Hallyday - Quelque chose de Tennessee,662071,620
Alonzo - Génération X-Or,657988,621
Mister V - Bulletproof,646222,622
Petit Biscuit - Waterfall,644002,623
Hornet La Frappe - Ça passe,643879,624
Offset - Ric Flair Drip (& Metro Boomin),640031,625
Jul - Fratellu,639035,626
MC Fioti - Joga O Bum Bum Tam Tam,637650,627
Guy2bezbar - Strike,633157,628
DTF - Avant de partir,629362,629
Johnny Hallyday - Requiem pour un fou,627859,630
DNCE - Cake By The Ocean,624282,631
Kendrick Lamar - LOVE. FEAT. ZACARI.,624133,632
Jul - E.T.,623512,633
Hornet La Frappe - 2 fois plus,619599,634
Jul - Madame,618325,635
XXXTENTACION - Fuck Love (feat. Trippie Redd),616931,636
Jul - Monde violent,612356,637
Mister V - Thérapie,607364,638
Lacrim - Solitaire,606738,639
Hornet La Frappe - Boca,602789,640
Maître Gims - Marabout,601653,641
Vald - Désaccordé,600966,642
Marwa Loud - Fallait pas,598675,643
Calvin Harris - This Is What You Came For,598390,644
Sofiane - Un boulot sérieux,588665,645
Jul - Le 46 de Rossi,587022,646
Ed Sheeran - How Would You Feel (Paean),585051,647
Djadja & Dinaz - Avant,583463,648
Sneazzy - N17,583277,649
MC Fioti - Bum Bum Tam Tam,583215,650
Rim'K - Rien de lavable,582066,651
Jul - Saoûlé,581336,652
Keen' V - Elle a,580315,653
Joyce Jonathan - Les filles d'aujourd'hui,579049,654
Johnny Hallyday - Marie,579031,655
Fifth Harmony - Down,577934,656
"Emma Stone - Someone In The Crowd - From ""La La Land"" Soundtrack",575210,657
Johnny Hallyday - Que je t'aime,573493,658
Kaaris - Victoire,568942,659
SCH - Allez leur dire,568827,660
Hearts & Colors - Shame,566137,661
Lacrim - 3dabi,563293,662
Kaaris - Végéta,559892,663
Ed Sheeran - New Man,558322,664
Ninho - Tout ira mieux,551351,665
SCH - Les années de plomb,551143,666
Johnny Hallyday - Sang pour sang,546576,667
AM - Histoire de,545163,668
Abou Debeing - C'est pas bon,543770,669
Lacrim - London Blues,543162,670
Jul - Temps d'avant,541220,671
SCH - Day Date,531238,672
Sofiane - Maître Ruben,525688,673
SCH - Pas la paix,525433,674
