Artist_and_Track_Name,Lithuania_Streams,Position
Hearts & Colors - Lighthouse - Andrelli Remix,61809,143
MØ - Nights With You,61797,144
John Legend - Love Me Now,61279,145
CNCO - Reggaetón Lento (Remix),61084,146
Wham! - Last Christmas,60489,147
Travis Scott - Butterfly Effect,59987,148
Shakira - Chantaje,59896,149
Drake - Fake Love,59020,150
Noah Cyrus - Make Me (Cry),57422,151
Flo Rida - Cake,56767,152
Kesha - Praying,56521,153
Blanche - City Lights,56284,154
Sam Smith - Too Good At Goodbyes,56236,155
Cardi B - Bodak Yellow,55724,156
Little Mix - Touch,53250,157
"Lorde - Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",52549,158
Alan Walker - Alone,52422,159
Kiiara - Whippin (feat. Felix Snow),52164,160
Грибы - Тает лёд,50940,161
DJ Snake - Let Me Love You,50580,162
Lord Huron - The Night We Met,50461,163
Brenda Lee - Rockin' Around The Christmas Tree - Single Version,49654,164
Vice - Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),48883,165
Rae Sremmurd - Black Beatles,48607,166
Niall Horan - Too Much To Ask,48391,167
Adele - Water Under the Bridge,47066,168
Shawn Hook - Reminding Me,46099,169
Eminem - River (feat. Ed Sheeran),46093,170
Post Malone - Candy Paint,45458,171
Cashmere Cat - Quit (feat. Ariana Grande),44782,172
Rihanna - Love On The Brain,43522,173
San Holo - Light,42688,174
Halsey - Bad At Love,41771,175
Alan Walker - Tired,41411,176
J Balvin - Mi Gente (feat. Beyoncé),40921,177
Luke Christopher - Lot to Learn,40876,178
Andy Williams - It's the Most Wonderful Time of the Year,40367,179
G-Eazy - No Limit,39260,180
The Chainsmokers - All We Know,38877,181
Frank Sinatra - Let It Snow! Let It Snow! Let It Snow!,38863,182
Jonas Blue - By Your Side,38342,183
Shawn Mendes - Mercy,37370,184
Alan Walker - All Falls Down,37288,185
DJ Snake - A Different Way (with Lauv),36865,186
Macklemore - Good Old Days (feat. Kesha),35958,187
Maroon 5 - Wait,35712,188
Luis Fonsi - Échame La Culpa,35539,189
Ariana Grande - Everyday,34327,190
Kendrick Lamar - LOYALTY. FEAT. RIHANNA.,33912,191
Jason Derulo - If I'm Lucky,33713,192
Drake - Blem,33602,193
"Machine Gun Kelly - Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",32680,194
Drake - One Dance,32666,195
Band Aid - Do They Know It's Christmas? - 1984 Version,32644,196
Sunstroke Project - Hey Mamma - Radio Edit,32573,197
Martin Garrix - So Far Away,32542,198
Camila Cabello - Never Be the Same,31287,199
