Artist_and_Track_Name,Germany_Streams,Position
Kontra K - Soldaten 2.0,12718624,142
Eminem - Lose Yourself - Soundtrack Version,12646645,143
Demi Lovato - Sorry Not Sorry,12597970,144
Linkin Park - Heavy (feat. Kiiara),12479105,145
RAF Camora - Alles probiert,12440384,146
Bonez MC - Mörder,12366759,147
Ali Bumaye - Sex ohne Grund,12365195,148
Nico Santos - Rooftop,12268735,149
Bruno Mars - That's What I Like,12108870,150
Robin Schulz - I Believe I'm Fine,12080859,151
SXTN - Von Party zu Party,11900060,152
Jason Derulo - If I'm Lucky,11744396,153
Amanda - Blau,11627635,154
Dardan - Telefon,11626495,155
Felix Jaehn - Feel Good,11361874,156
The Chainsmokers - Don't Let Me Down,11327822,157
DJ Snake - Let Me Love You,11247856,158
Alessia Cara - Scars To Your Beautiful,11226932,159
Khalid - Young Dumb & Broke,11046062,160
Petit Biscuit - Sunset Lover,10938665,161
Alok - Hear Me Now,10886720,162
Kontra K - Mehr als ein Job,10816667,163
Miley Cyrus - Malibu,10664678,164
Lorde - Green Light,10649621,165
Bushido - Papa,10488529,166
Sia - Never Give Up,10480366,167
Big Shaq - Man's Not Hot,10457282,168
"Alessia Cara - How Far I'll Go - From ""Moana""",10427617,169
Lil Pump - Gucci Gang,10394638,170
Harry Styles - Sign of the Times,10383230,171
Maroon 5 - Cold,10374849,172
Gzuz - 10 Jahre,10268497,173
Linkin Park - In The End,10248369,174
Dimitri Vegas & Like Mike - Complicated (feat. Kiiara),10195099,175
Mariah Carey - All I Want for Christmas Is You,10190303,176
Martin Solveig - Places,10105931,177
Adel Tawil - Ist da jemand,9910709,178
The Weeknd - I Feel It Coming,9865753,179
Kollegah - Gamechanger,9862895,180
Niall Horan - Slow Hands,9812807,181
Kollegah - Sturmmaske Auf [Intro],9724742,182
Milky Chance - Cocoon,9711157,183
Trettmann - Gottseidank,9668451,184
Eminem - 'Till I Collapse,9659981,185
Alan Walker - Tired,9581114,186
Kontra K - Diamanten,9472083,187
Sam Smith - Too Good At Goodbyes,9301125,188
AK Ausserkontrolle - Jim Beam & Voddi,9289662,189
Capital Bra - Na Na Na,9264649,190
Dimitri Vegas & Like Mike - Hey Baby,9260553,191
Eminem - River (feat. Ed Sheeran),9221581,192
Sigala - Came Here for Love,9193465,193
Adel Tawil - Bis hier und noch weiter,9165857,194
Shawn Mendes - Mercy,9139656,195
Regi - Should Have Been There,9120260,196
G-Eazy - Him & I (with Halsey),9106153,197
Luciano - Jäger,9044389,198
Shawn Mendes - Treat You Better,8892489,199
Ufo361 - Der Pate,8823861,200
Selena Gomez - Bad Liar,8797533,201
Jax Jones - Instruction (feat. Demi Lovato & Stefflon Don),8732963,202
Rag'n'Bone Man - Human,8616215,203
Mike Perry - The Ocean,8564622,204
Chris Brown - Questions,8563677,205
Wham! - Last Christmas,8545828,206
OneRepublic - Rich Love (with Seeb),8464488,207
Rae Sremmurd - Black Beatles,8423435,208
Mert - Ajajaj,8411401,209
Louis Tomlinson - Back to You (feat. Bebe Rexha & Digital Farm Animals),8379742,210
Capo - Mon Chéri,8340764,211
Wincent Weiss - Feuerwerk,8334280,212
Celo & Abdi - Rhythm n' Flouz,8328366,213
Migos - Bad and Boujee (feat. Lil Uzi Vert),8292474,214
Capo - Komm wir chillen (feat. Yonii & Bausa) - Bonustrack,8266416,215
David Guetta - Would I Lie To You - Radio Edit,8264111,216
21 Savage - Bank Account,8215570,217
Azzi Memo - AMG2,8061992,218
Beginner - Ahnma,8059813,219
"Hailee Steinfeld - Let Me Go (with Alesso, Florida Georgia Line & watt)",7886064,220
Helene Fischer - Herzbeben,7873610,221
Ed Sheeran - Happier,7851239,222
John Legend - Love Me Now,7824758,223
Sam Smith - Too Good At Goodbyes - Edit,7811772,224
Twenty One Pilots - Heathens,7801781,225
Charlie Puth - How Long,7759226,226
Cro - unendlichkeit - Main Edit,7678879,227
Major Lazer - Cold Water (feat. Justin Bieber & MØ),7602205,228
Prinz Pi - Letzte Liebe,7584684,229
Veysel - Yakuza,7580336,230
Olivia Holt - History,7542103,231
Hailee Steinfeld - Starving,7540373,232
Kollegah - Ave Maria,7529520,233
Bonez MC - Glaub mir,7504632,234
Calvin Harris - My Way,7503272,235
Travis Scott - Butterfly Effect,7477216,236
SXTN - Bongzimmer,7443595,237
Flo Rida - Cake,7425687,238
Drake - Fake Love,7421426,239
RAF Camora - Sag Nix,7405567,240
Jonas Blue - By Your Side,7399148,241
Bonez MC - Atramis,7393770,242
Luciano - Vorankommen,7363987,243
Halsey - Now Or Never,7361244,244
Miami Yacine - Montpellier,7303011,245
Jason Derulo - Tip Toe (feat. French Montana),7211285,246
PA Sports - Sie will,7162710,247
ALMA - Dye My Hair,7139004,248
Bonez MC - Skandale,7135074,249
Veysel - Bargeld,7127746,250
Maroon 5 - Don't Wanna Know,7080930,251
Felix Jaehn - Bonfire,7077038,252
Post Malone - I Fall Apart,7016659,253
Zuna - Cazal,6960273,254
Zuna - Kartell (feat. Azet & Nash),6932489,255
Marteria - Das Geld muss weg,6917596,256
Nevada - The Mack,6896127,257
Axwell /\ Ingrosso - I Love You,6851784,258
Kendrick Lamar - DNA.,6789166,259
Ufo361 - Für die Gang,6753682,260
Luciano - Hawaii,6731115,261
Linkin Park - Numb,6721686,262
Martin Garrix - In the Name of Love,6552528,263
Machine Gun Kelly - Bad Things (with Camila Cabello),6524711,264
Zara Larsson - I Would Like,6494940,265
Bag Raiders - Shooting Stars,6461343,266
Galantis - Love On Me,6411196,267
Sa4 - Schnell machen,6409458,268
KYLE - iSpy (feat. Lil Yachty),6371657,269
SDP - So schön kaputt,6241680,270
Jazn - Bombay,6181859,271
Snakehips - Don't Leave,6142604,272
Mark Forster - Kogong,6141053,273
Ed Sheeran - Perfect Duet (Ed Sheeran & Beyoncé),6131528,274
Zuna - Baby,6121521,275
Hailee Steinfeld - Most Girls,6040112,276
Oasis - Wonderwall - Remastered,6002788,277
Bebe Rexha - I Got You,5979743,278
Rita Ora - Anywhere,5960174,279
Azet - Zigarren Havanna - KMN Street EP.2,5958547,280
187 Strassenbande - High Life,5907310,281
Alan Walker - Faded,5847902,282
Chris Rea - Driving Home For Christmas,5845133,283
Luis Fonsi - Échame La Culpa,5827653,284
"Lil Wayne - Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",5824177,285
Capo - Alles auf Rot,5784895,286
Katy Perry - Swish Swish,5755134,287
Major Lazer - Light It Up (feat. Nyla & Fuse ODG) - Remix,5748433,288
Melanie Thornton - Wonderful Dream (Holidays Are Coming) - Radio Version,5685651,289
Papa Roach - Last Resort,5638554,290
Sia - Cheap Thrills,5628951,291
Lady Gaga - The Cure,5590550,292
Desiigner - Panda,5586366,293
187 Strassenbande - Sitzheizung,5560069,294
Selena Gomez - Fetish (feat. Gucci Mane),5518707,295
Mura Masa - Love$ick,5486962,296
Ofenbach - Katchi (Ofenbach vs. Nick Waterhouse),5418835,297
RIN - Blackout,5393381,298
Kiiara - Whippin (feat. Felix Snow),5363488,299
Cheat Codes - Sex,5343363,300
Azzi Memo - Heb ab,5335767,301
Shakin' Stevens - Merry Christmas Everyone - Remastered,5297573,302
Eminem - Walk On Water (feat. Beyoncé),5286155,303
J Balvin - Mi Gente (feat. Beyoncé),5198411,304
Jax Jones - Instruction,5197667,305
RAF Camora - Gotham City,5128887,306
Bushido - Sodom und Gomorrha,5110738,307
Kontra K - Plem Plem (feat. Raf Camora & Bonez MC),5107365,308
Marteria - Aliens,5072457,309
Khalid - Location,5056708,310
Rihanna - Love On The Brain,5040720,311
Kollegah - Es wird Zeit,5030916,312
Gentleman - Ovaload,5030774,313
Little Mix - Touch,4993306,314
Veysel - Besser als 50 Cent,4936828,315
Kollegah - Rap wieder Rap,4908332,316
Capo - Mainhattan City Gang,4852894,317
Drake - Signs,4821890,318
Ariana Grande - Side To Side,4815536,319
Miami Yacine - Rotterdam,4806515,320
Clean Bandit - I Miss You (feat. Julia Michaels),4762254,321
Ed Sheeran - New Man,4759665,322
Bebe Rexha - Meant to Be (feat. Florida Georgia Line),4725860,323
KC Rebell - Voll mein Ding (feat. Adel Tawil),4671943,324
Mosh36 - Check ich nicht,4663097,325
Martin Garrix - So Far Away,4640157,326
Katja Krasavice - Doggy,4571947,327
Kungs - This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,4563070,328
Bruno Mars - 24K Magic,4540689,329
Maluma - Felices los 4,4509926,330
John Lennon - Happy Xmas (War Is Over) - 2010 Digital Remaster,4417819,331
Savas - Neue Welt,4391717,332
Mike Posner - I Took A Pill In Ibiza - Seeb Remix,4380862,333
187 Strassenbande - 100er Batzen,4373130,334
Paul McCartney - Wonderful Christmastime - Remastered 2011 / Edited Version,4362484,335
Ed Sheeran - What Do I Know?,4343121,336
Marian Hill - Down,4308711,337
Capital Bra - Es geht ums Geschäft,4261299,338
Michael Bublé - It's Beginning To Look A Lot Like Christmas,4233320,339
"RAF Camora - Bye, Bye",4228885,340
Ed Sheeran - Dive,4203004,341
Capital Bra - Ghetto Massari,4197978,342
Ariana Grande - Santa Tell Me,4195271,343
Bushido - Gehen wir rein,4178466,344
Azet - Gjynah,4161759,345
Bakermat - Don't Want You Back,4158992,346
"Machine Gun Kelly - Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",4138429,347
Pentatonix - Hallelujah,4124712,348
RHODES - Your Soul (Holding On),4108057,349
Cardi B - Bodak Yellow,4088501,350
Sunrise Avenue - I Help You Hate Me,4088445,351
Miami Yacine - Großstadtdschungel,4085811,352
Future - Selfish,4082803,353
Capital Bra - KUKU SLS,4078130,354
Big Sean - Bounce Back,4067794,355
Azet - Patte fließt,4036682,356
Twenty One Pilots - Stressed Out,4031760,357
Veysel - Bam Bam,4014697,358
Die Toten Hosen - Wannsee,3965896,359
Kollegah - Sturmmaske auf (Intro),3932656,360
"Lorde - Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",3928906,361
Queen - Thank God It's Christmas - Non-Album Single,3848350,362
Trailerpark - Bleib in der Schule,3843629,363
Kato - Show You Love,3838054,364
Disturbed - The Sound Of Silence,3835996,365
Mahmut Orhan - Feel - Radio Edit,3807291,366
RAF Camora - Waffen,3803409,367
G-Eazy - No Limit,3779177,368
Skrillex - Would You Ever,3735838,369
Niall Horan - Too Much To Ask,3730127,370
Ed Sheeran - Supermarket Flowers,3726792,371
SXTN - Fotzen im Club,3715006,372
Alan Walker - The Spectre,3714415,373
A R I Z O N A - I Was Wrong - Robin Schulz Remix,3705979,374
Kollegah - Studiogangster,3655903,375
Kollegah - Jung Brutal Gutaussehend 2017,3627515,376
Azet - Fast Life,3603737,377
Capital Bra - Zweistellige Haftstrafen,3583147,378
Ufo361 - Tiffany,3570634,379
Daryl Hall & John Oates - Jingle Bell Rock from Daryl,3534510,380
Maxwell - Spielplatz,3486042,381
Sa4 - Allstars,3474602,382
James Hype - More Than Friends,3471688,383
Ed Sheeran - How Would You Feel (Paean),3471328,384
Max Giesinger - Wenn sie tanzt,3451417,385
Sia - The Greatest,3434428,386
The Chainsmokers - The One,3396710,387
XXXTENTACION - Jocelyn Flores,3379656,388
Anne-Marie - Alarm,3371742,389
Taylor Swift - ...Ready For It?,3368262,390
Fitz and The Tantrums - HandClap,3365604,391
Nause - Dynamite (feat. Pretty Sister),3350918,392
Ed Sheeran - Eraser,3336365,393
Ed Sheeran - Barcelona,3326177,394
Zuna - Real Madrid,3318711,395
Marteria - El Presidente,3286082,396
NEIKED - Sexual,3285650,397
Imany - Don't Be So Shy - Filatov & Karas Remix,3271487,398
Ed Sheeran - Nancy Mulligan,3258269,399
"Justin Timberlake - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",3245975,400
Kollegah - Düsseldorfer,3223180,401
Adele - Water Under the Bridge,3216255,402
Mert - Liebe heißt,3188859,403
DJ Snake - A Different Way (with Lauv),3182699,404
Kollegah - Wenn der Gegner am Boden liegt,3171078,405
187 Strassenbande - Lächeln,3166406,406
